variable,classification,first_event_available,allowed_models,forbidden_models,notes
sack_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
sack_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
safety,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
safety_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
safety_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
safety_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
score_differential,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
score_differential_post,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
season,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
season_type,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
series,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
series_result,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|string
series_success,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
shotgun,TARGET,,,,TARGET in its own model; INTERMEDIATE downstream (§19); js_type=number
side_of_field,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
solo_tackle,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
solo_tackle_1_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
solo_tackle_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
solo_tackle_1_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
solo_tackle_2_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
solo_tackle_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
solo_tackle_2_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
sp,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
special,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
special_teams_play,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
spread_line,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
st_play_type,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null
stadium,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
stadium_id,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
start_time,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
success,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
surface,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
tackle_for_loss_1_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null|string
tackle_for_loss_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
tackle_for_loss_2_player_id,VALIDATION_ONLY,,,,attribution/debug only; js_type=null
tackle_for_loss_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
tackle_with_assist,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
tackle_with_assist_1_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
tackle_with_assist_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
tackle_with_assist_1_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
tackle_with_assist_2_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
tackle_with_assist_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null"
tackle_with_assist_2_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null
tackled_for_loss,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
td_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
td_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
td_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
td_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
temp,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
third_down_converted,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
third_down_failed,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
time,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
time_of_day,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
timeout,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
timeout_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
total,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
total_away_comp_air_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_comp_air_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_comp_yac_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_comp_yac_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
total_away_pass_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_pass_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_raw_air_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_raw_air_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_raw_yac_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_raw_yac_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_rush_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_rush_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_away_score,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
total_home_comp_air_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_comp_air_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_comp_yac_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_comp_yac_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
total_home_pass_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_pass_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_raw_air_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_raw_air_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_raw_yac_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_raw_yac_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_rush_epa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_rush_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=number
total_home_score,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
total_line,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
touchback,TARGET,,,,model target (§19); js_type=number
touchdown,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
two_point_attempt,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=null|number
two_point_conv_result,TARGET,,,,model target (§19); js_type=null|string
two_point_conversion_prob,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=number
vegas_home_wp,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
vegas_home_wpa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
vegas_wp,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
vegas_wpa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
weather,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|string
week,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
wind,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
wp,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
wpa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
xpass,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
xyac_epa,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
xyac_fd,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
xyac_mean_yardage,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
xyac_median_yardage,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
xyac_success,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
yac_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
yac_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=null|number
yardline_100,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
yards_after_catch,TARGET,,,,model target (§19); js_type=null|number
yards_gained,TARGET,,,,model target (§19); js_type=null|number
ydsnet,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
ydstogo,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
yrdln,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|string
